 tablespace |                    objects                     
------------+------------------------------------------------
 ipl2       | a                                             +
            | a_pkey
 pg_default | _pg_foreign_data_wrappers                     +
            | _pg_foreign_servers                           +
            | _pg_foreign_table_columns                     +
            | _pg_foreign_tables                            +
            | _pg_user_mappings                             +
            | a_id_seq                                      +
            | administrable_role_authorizations             +
            | applicable_roles                              +
            | attributes                                    +
            | character_sets                                +
            | check_constraint_routine_usage                +
            | check_constraints                             +
            | collation_character_set_applicability         +
            | collations                                    +
            | column_column_usage                           +
            | column_domain_usage                           +
            | column_options                                +
            | column_privileges                             +
            | column_udt_usage                              +
            | columns                                       +
            | constraint_column_usage                       +
            | constraint_table_usage                        +
            | data_type_privileges                          +
            | domain_constraints                            +
            | domain_udt_usage                              +
            | domains                                       +
            | element_types                                 +
            | enabled_roles                                 +
            | foreign_data_wrapper_options                  +
            | foreign_data_wrappers                         +
            | foreign_server_options                        +
            | foreign_servers                               +
            | foreign_table_options                         +
            | foreign_tables                                +
            | information_schema_catalog_name               +
            | key_column_usage                              +
            | parameters                                    +
            | pg_aggregate                                  +
            | pg_aggregate_fnoid_index                      +
            | pg_am                                         +
            | pg_am_name_index                              +
            | pg_am_oid_index                               +
            | pg_amop                                       +
            | pg_amop_fam_strat_index                       +
            | pg_amop_oid_index                             +
            | pg_amop_opr_fam_index                         +
            | pg_amproc                                     +
            | pg_amproc_fam_proc_index                      +
            | pg_amproc_oid_index                           +
            | pg_attrdef                                    +
            | pg_attrdef_adrelid_adnum_index                +
            | pg_attrdef_oid_index                          +
            | pg_attribute                                  +
            | pg_attribute_relid_attnam_index               +
            | pg_attribute_relid_attnum_index               +
            | pg_available_extension_versions               +
            | pg_available_extensions                       +
            | pg_backend_memory_contexts                    +
            | pg_cast                                       +
            | pg_cast_oid_index                             +
            | pg_cast_source_target_index                   +
            | pg_class                                      +
            | pg_class_oid_index                            +
            | pg_class_relname_nsp_index                    +
            | pg_class_tblspc_relfilenode_index             +
            | pg_collation                                  +
            | pg_collation_name_enc_nsp_index               +
            | pg_collation_oid_index                        +
            | pg_config                                     +
            | pg_constraint                                 +
            | pg_constraint_conname_nsp_index               +
            | pg_constraint_conparentid_index               +
            | pg_constraint_conrelid_contypid_conname_index +
            | pg_constraint_contypid_index                  +
            | pg_constraint_oid_index                       +
            | pg_conversion                                 +
            | pg_conversion_default_index                   +
            | pg_conversion_name_nsp_index                  +
            | pg_conversion_oid_index                       +
            | pg_cursors                                    +
            | pg_default_acl                                +
            | pg_default_acl_oid_index                      +
            | pg_default_acl_role_nsp_obj_index             +
            | pg_depend                                     +
            | pg_depend_depender_index                      +
            | pg_depend_reference_index                     +
            | pg_description                                +
            | pg_description_o_c_o_index                    +
            | pg_enum                                       +
            | pg_enum_oid_index                             +
            | pg_enum_typid_label_index                     +
            | pg_enum_typid_sortorder_index                 +
            | pg_event_trigger                              +
            | pg_event_trigger_evtname_index                +
            | pg_event_trigger_oid_index                    +
            | pg_extension                                  +
            | pg_extension_name_index                       +
            | pg_extension_oid_index                        +
            | pg_file_settings                              +
            | pg_foreign_data_wrapper                       +
            | pg_foreign_data_wrapper_name_index            +
            | pg_foreign_data_wrapper_oid_index             +
            | pg_foreign_server                             +
            | pg_foreign_server_name_index                  +
            | pg_foreign_server_oid_index                   +
            | pg_foreign_table                              +
            | pg_foreign_table_relid_index                  +
            | pg_group                                      +
            | pg_hba_file_rules                             +
            | pg_ident_file_mappings                        +
            | pg_index                                      +
            | pg_index_indexrelid_index                     +
            | pg_index_indrelid_index                       +
            | pg_indexes                                    +
            | pg_inherits                                   +
            | pg_inherits_parent_index                      +
            | pg_inherits_relid_seqno_index                 +
            | pg_init_privs                                 +
            | pg_init_privs_o_c_o_index                     +
            | pg_language                                   +
            | pg_language_name_index                        +
            | pg_language_oid_index                         +
            | pg_largeobject                                +
            | pg_largeobject_loid_pn_index                  +
            | pg_largeobject_metadata                       +
            | pg_largeobject_metadata_oid_index             +
            | pg_locks                                      +
            | pg_matviews                                   +
            | pg_namespace                                  +
            | pg_namespace_nspname_index                    +
            | pg_namespace_oid_index                        +
            | pg_opclass                                    +
            | pg_opclass_am_name_nsp_index                  +
            | pg_opclass_oid_index                          +
            | pg_operator                                   +
            | pg_operator_oid_index                         +
            | pg_operator_oprname_l_r_n_index               +
            | pg_opfamily                                   +
            | pg_opfamily_am_name_nsp_index                 +
            | pg_opfamily_oid_index                         +
            | pg_partitioned_table                          +
            | pg_partitioned_table_partrelid_index          +
            | pg_policies                                   +
            | pg_policy                                     +
            | pg_policy_oid_index                           +
            | pg_policy_polrelid_polname_index              +
            | pg_prepared_statements                        +
            | pg_prepared_xacts                             +
            | pg_proc                                       +
            | pg_proc_oid_index                             +
            | pg_proc_proname_args_nsp_index                +
            | pg_publication                                +
            | pg_publication_namespace                      +
            | pg_publication_namespace_oid_index            +
            | pg_publication_namespace_pnnspid_pnpubid_index+
            | pg_publication_oid_index                      +
            | pg_publication_pubname_index                  +
            | pg_publication_rel                            +
            | pg_publication_rel_oid_index                  +
            | pg_publication_rel_prpubid_index              +
            | pg_publication_rel_prrelid_prpubid_index      +
            | pg_publication_tables                         +
            | pg_range                                      +
            | pg_range_rngmultitypid_index                  +
            | pg_range_rngtypid_index                       +
            | pg_replication_origin_status                  +
            | pg_replication_slots                          +
            | pg_rewrite                                    +
            | pg_rewrite_oid_index                          +
            | pg_rewrite_rel_rulename_index                 +
            | pg_roles                                      +
            | pg_rules                                      +
            | pg_seclabel                                   +
            | pg_seclabel_object_index                      +
            | pg_seclabels                                  +
            | pg_sequence                                   +
            | pg_sequence_seqrelid_index                    +
            | pg_sequences                                  +
            | pg_settings                                   +
            | pg_shadow                                     +
            | pg_shmem_allocations                          +
            | pg_stat_activity                              +
            | pg_stat_all_indexes                           +
            | pg_stat_all_tables                            +
            | pg_stat_archiver                              +
            | pg_stat_bgwriter                              +
            | pg_stat_database                              +
            | pg_stat_database_conflicts                    +
            | pg_stat_gssapi                                +
            | pg_stat_io                                    +
            | pg_stat_progress_analyze                      +
            | pg_stat_progress_basebackup                   +
            | pg_stat_progress_cluster                      +
            | pg_stat_progress_copy                         +
            | pg_stat_progress_create_index                 +
            | pg_stat_progress_vacuum                       +
            | pg_stat_recovery_prefetch                     +
            | pg_stat_replication                           +
            | pg_stat_replication_slots                     +
            | pg_stat_slru                                  +
            | pg_stat_ssl                                   +
            | pg_stat_subscription                          +
            | pg_stat_subscription_stats                    +
            | pg_stat_sys_indexes                           +
            | pg_stat_sys_tables                            +
            | pg_stat_user_functions                        +
            | pg_stat_user_indexes                          +
            | pg_stat_user_tables                           +
            | pg_stat_wal                                   +
